Achilles,
Afrodita,
Agni,
Ah Muzen Cab,
Ah Puch,
Amaterasu,
Anhur,
Anubis,
Ao Kuang,
Apolo,
Aracne,
Ares,
Artemisa,
Artio,
Atenea,
Awilix,
Baco,
Bakasura,
Baron_Samedi,
Bastet,
Belona,
Cabrakán,
Camazotz,
Cerberus,
Cernunnos,
Chaac,
Chang'e,
Chernobog,
Cronos,
Cu_Chulainn,
Cupido,
Da_Ji,
Discordia,
Erlang Shen,
Escila,
Fafnir,
Fenrir,
Freya,
Ganesha,
Geb,
Guan Yu,
Hachiman,
Hades,
He Bo,
Heimdallr,
Hel,
Hera,
Hércules,
Horus,
Hou Yi,
Hun Batz,
Isis,
Ixbalanqué,
Izanami,
Jano,
Jepri,
Jing Wei,
Jormungandr,
Kali,
King_Arthur,
Kukulkán,
Kumbhákarna,
Kuzenbo,
Loki,
Medusa,
Mercurio,
Merlin,
Ne Zha,
Neith,
Némesis,
Nike,
Nox,
Nu Wa,
Odín,
Olorun,
Osiris,
Pele,
Persephone,
Poseidón,
Quirón,
Ra,
Raijin,
Rama,
Ratatoskr,
Rávana,
Serket,
Set,
Silvano,
Skadi,
Sobek,
Sol,
Sun Wukong,
Susano-o,
Tánatos,
Terra,
The_Morrigan,
Thor,
Thoth,
Tyr,
Ullr,
Vámana,
Vulcano,
Xing Tian,
Yemoja,
Ymir,
Zeus,
Zhong Kui,
